 .eslintrc.js                                                                                                                |    87 +++++++++++++++++++++++++++++++++++++++----------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_table.js                                                                   |    58 +++++++++++++++++++++++------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_textleaf.js                                                                |    19 ++++++++++--------
 accessible/tests/browser/e10s/browser_treeupdate_visibility.js                                                              |   403 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_whitespace.js                                                              |    31 ++++++-----------------------
 accessible/tests/browser/e10s/head.js                                                                                       |     4 +---
 accessible/tests/browser/events.js                                                                                          |    27 ++++++++++++-------------
 accessible/tests/browser/events/browser_test_docload.js                                                                     |    22 ++++++++++----------
 accessible/tests/browser/events/browser_test_focus_browserui.js                                                             |     3 +--
 accessible/tests/browser/events/browser_test_focus_dialog.js                                                                |    12 ++++++-----
 accessible/tests/browser/events/browser_test_focus_urlbar.js                                                                |    38 ++++++++++++++++-------------------
 accessible/tests/browser/events/browser_test_scrolling.js                                                                   |    30 +++++++++++-----------------
 accessible/tests/browser/events/browser_test_textcaret.js                                                                   |    26 +++++++++---------------
 accessible/tests/browser/events/head.js                                                                                     |     4 +---
 accessible/tests/browser/general/browser_test_doc_creation.js                                                               |     7 ++-----
 accessible/tests/browser/general/head.js                                                                                    |    10 +++-------
 accessible/tests/browser/head.js                                                                                            |    37 +++++++++++++++-------------------
 accessible/tests/browser/scroll/browser_test_zoom_text.js                                                                   |     9 ++++-----
 accessible/tests/browser/scroll/head.js                                                                                     |     4 +---
 accessible/tests/browser/shared-head.js                                                                                     |    99 +++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------
 accessible/tests/browser/states/browser_test_link.js                                                                        |    12 +++++------
 accessible/tests/browser/states/browser_test_visibility.js                                                                  |     9 +++++----
 accessible/tests/browser/states/head.js                                                                                     |     4 +---
 accessible/tests/browser/tree/browser_aria_owns.js                                                                          |   130 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------
 accessible/tests/browser/tree/head.js                                                                                       |     7 ++-----
 accessible/tests/crashtests/.eslintrc.js                                                                                    |     4 +---
 accessible/tests/mochitest/.eslintrc.js                                                                                     |     8 +++-----
 accessible/tests/mochitest/actions.js                                                                                       |    55 ++++++++++++++++++--------------------------------
 accessible/tests/mochitest/attributes.js                                                                                    |   172 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------
 accessible/tests/mochitest/autocomplete.js                                                                                  |    38 ++++++++++++-----------------------
 accessible/tests/mochitest/browser.js                                                                                       |    37 ++++++++++++++++------------------
 accessible/tests/mochitest/common.js                                                                                        |   402 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/editabletext/editabletext.js                                                                     |   104 ++++++++++++++++++++++++++++++++++++++---------------------------------------------------------
 accessible/tests/mochitest/events.js                                                                                        |   747 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/grid.js                                                                                          |    18 ++++++-----------
 accessible/tests/mochitest/hyperlink/hyperlink.js                                                                           |    12 +++++------
 accessible/tests/mochitest/jsat/jsatcommon.js                                                                               |   102 ++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------
 accessible/tests/mochitest/jsat/output.js                                                                                   |    49 +++++++++++++++++++++++++++------------------
 accessible/tests/mochitest/layout.js                                                                                        |   133 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------
 accessible/tests/mochitest/name.js                                                                                          |     9 +++------
 accessible/tests/mochitest/name/markup.js                                                                                   |   115 ++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------
 accessible/tests/mochitest/pivot.js                                                                                         |   234 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/relations.js                                                                                     |    27 +++++++++----------------
 accessible/tests/mochitest/role.js                                                                                          |     6 ++----
 accessible/tests/mochitest/selectable.js                                                                                    |    51 +++++++++++++++++++++++++++++------------------
 accessible/tests/mochitest/states.js                                                                                        |    99 ++++++++++++++++++++++++++++++------------------------------------------------------------
 accessible/tests/mochitest/table.js                                                                                         |   321 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/text.js                                                                                          |   325 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/treeview.js                                                                                      |    65 +++++++++++++++++++++++------------------------------------
 accessible/tests/mochitest/value.js                                                                                         |    18 ++++++-----------
 browser/.eslintrc.js                                                                                                        |     6 +++---
 browser/actors/AboutReaderChild.jsm                                                                                         |    24 +++++++++++-----------
 browser/actors/BlockedSiteChild.jsm                                                                                         |    87 +++++++++++++++++++++++++++++++++++++++----------------------------------------
 browser/actors/BrowserTabChild.jsm                                                                                          |    62 ++++++++++++++++++++++++++-------------------------------
 browser/actors/ClickHandlerChild.jsm                                                                                        |    81 +++++++++++++++++++++++++++++++++++---------------------------------------
 browser/actors/ContentSearchChild.jsm                                                                                       |    20 ++++++++++---------
 browser/actors/ContextMenuChild.jsm                                                                                         |   400 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/DOMFullscreenChild.jsm                                                                                       |    10 ++++------
 browser/actors/FormValidationChild.jsm                                                                                      |    24 ++++++++++++----------
 browser/actors/LightWeightThemeInstallChild.jsm                                                                             |    11 +++++-----
 browser/actors/LightweightThemeChild.jsm                                                                                    |    20 ++++++++++---------
 browser/actors/LinkHandlerChild.jsm                                                                                         |    28 +++++++++++++-------------
 browser/actors/NetErrorChild.jsm                                                                                            |   298 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/OfflineAppsChild.jsm                                                                                         |    36 ++++++++++++---------------------
 browser/actors/PageInfoChild.jsm                                                                                            |    63 +++++++++++++++++++++++++++-------------------------------
 browser/actors/PageStyleChild.jsm                                                                                           |    25 ++++++++++++-----------
 browser/actors/PluginChild.jsm                                                                                              |   322 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/RFPHelperChild.jsm                                                                                           |     7 +++----
 browser/actors/SearchTelemetryChild.jsm                                                                                     |    10 ++++------
 browser/actors/URIFixupChild.jsm                                                                                            |     8 +++-----
 browser/actors/WebRTCChild.jsm                                                                                              |   152 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------
 browser/base/content/aboutDialog-appUpdater.js                                                                              |   208 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------
 browser/base/content/aboutDialog.js                                                                                         |    14 ++++++-------
 browser/base/content/aboutNetError.js                                                                                       |   153 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------
 browser/base/content/aboutRestartRequired.js                                                                                |     7 +++----
 browser/base/content/aboutTabCrashed.js                                                                                     |    31 ++++++++++-------------------
 browser/base/content/blockedSite.js                                                                                         |    29 ++++++++++++---------------
 browser/base/content/browser-addons.js                                                                                      |   684 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-allTabsMenu.js                                                                                 |    60 ++++++++++++++++++++++++++++---------------------------
 browser/base/content/browser-captivePortal.js                                                                               |    36 ++++++++++++++++-----------------
 browser/base/content/browser-compacttheme.js                                                                                |    10 +++-------
 browser/base/content/browser-contentblocking.js                                                                             |   342 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-ctrlTab.js                                                                                     |   204 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------
 browser/base/content/browser-customization.js                                                                               |    22 +++++++++-----------
 browser/base/content/browser-data-submission-info-bar.js                                                                    |    37 ++++++++++++++--------------------
 browser/base/content/browser-development-helpers.js                                                                         |     5 ++---
 browser/base/content/browser-fullScreenAndPointerLock.js                                                                    |   159 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------
 browser/base/content/browser-fullZoom.js                                                                                    |    99 ++++++++++++++++++++++++++++++++++++------------------------------------------------------
 browser/base/content/browser-gestureSupport.js                                                                              |   186 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------
 browser/base/content/browser-media.js                                                                                       |   103 ++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------
 browser/base/content/browser-pageActions.js                                                                                 |   204 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------
 browser/base/content/browser-places.js                                                                                      |   553 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-plugins.js                                                                                     |   142 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------
 browser/base/content/browser-safebrowsing.js                                                                                |    13 ++++++------
 browser/base/content/browser-sidebar.js                                                                                     |   140 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------
 browser/base/content/browser-siteIdentity.js                                                                                |   287 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-sync.js                                                                                        |   212 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------
 browser/base/content/browser-tabsintitlebar.js                                                                              |   213 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------
 browser/base/content/browser-thumbnails.js                                                                                  |    33 ++++++++++--------------------
 browser/base/content/browser-toolbarKeyNav.js                                                                               |    41 ++++++++++++++++----------------------
 browser/base/content/browser-webrender.js                                                                                   |     2 +-
 browser/base/content/browser.js                                                                                             |  2759 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/content-refreshblocker.js                                                                              |    18 +++++++----------
 browser/base/content/content.js                                                                                             |    14 ++++++++-----
 browser/base/content/contentSearchUI.js                                                                                     |  1702 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/contentTheme.js                                                                                        |   267 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------
 browser/base/content/newInstallPage.js                                                                                      |    22 +++++++++++---------
 browser/base/content/nonbrowser-mac.js                                                                                      |    61 +++++++++++++++++++++++++++++++++-----------------------
 browser/base/content/nsContextMenu.js                                                                                       |   800 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/pageinfo/pageInfo.js                                                                                   |   588 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/pageinfo/permissions.js                                                                                |    17 ++++++++--------
 browser/base/content/pageinfo/security.js                                                                                   |   133 +++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------
 browser/base/content/safeMode.js                                                                                            |    15 ++++++--------
 browser/base/content/sanitizeDialog.js                                                                                      |    33 +++++++++++++-----------------
 browser/base/content/tab-content.js                                                                                         |    20 ++++++++-----------
